company_name,cluster,mention_rate,queries_tested,mentioned_count,competitors_that_appeared,named_recall_check
"Care GP",healthcare,0%,5,0,"",""
"Careforce",healthcare,0%,5,0,"",""
"Clarion",healthcare,0%,5,0,"",""
"Clicks Health",healthcare,0%,5,0,"",""
"Cova",healthcare,0%,5,0,"",""
"Denta",healthcare,0%,5,0,"",""
"Dodo",healthcare,0%,5,0,"",""
"Egress Health",healthcare,0%,5,0,"",""
"Galen AI",healthcare,0%,5,0,"",""
"Hubble",healthcare,0%,5,0,"",""
"Illume Labs",healthcare,0%,5,0,"",""
"Klarify",healthcare,0%,5,0,"",""
"Layers",healthcare,0%,5,0,"",""
"Locata",healthcare,0%,5,0,"",""
"Mango Medical",healthcare,0%,5,0,"",""
"mdhub",healthcare,0%,5,0,"",""
"Novoflow",healthcare,0%,5,0,"",""
"Parallel",healthcare,0%,5,0,"",""
"Patientdesk.ai",healthcare,0%,5,0,"",""
"Perspectives Health",healthcare,0%,5,0,"",""
"Prana",healthcare,0%,5,0,"",""
"Remedy",healthcare,0%,5,0,"",""
"Rovi Health",healthcare,0%,5,0,"",""
"Saga AI",healthcare,0%,5,0,"",""
"Simplex",healthcare,0%,5,0,"",""
"TakeCareOS",healthcare,0%,5,0,"",""
"Tepali",healthcare,0%,5,0,"",""
"Toothy AI",healthcare,0%,5,0,"",""
"Trapeze",healthcare,0%,5,0,"",""
"Voquill",healthcare,0%,5,0,"",""
"Arden",accounting-finance,0%,5,0,"Rational; End Close",""
"Balance",accounting-finance,0%,5,0,"Rational; End Close",""
"Bluebook",accounting-finance,0%,5,0,"Rational; End Close",""
"Cifrato",accounting-finance,0%,5,0,"Rational; End Close",""
"Cranston AI",accounting-finance,0%,5,0,"Rational; End Close",""
"Fazeshift",accounting-finance,0%,5,0,"Rational; End Close",""
"FullSeam",accounting-finance,0%,5,0,"Rational; End Close",""
"Gravy",accounting-finance,0%,5,0,"Rational; End Close",""
"Last Accounting Company",accounting-finance,0%,5,0,"Rational; End Close",""
"LedgerUp",accounting-finance,0%,5,0,"Rational; End Close",""
"Magnetic",accounting-finance,0%,5,0,"Rational; End Close",""
"Minerva",accounting-finance,0%,5,0,"Rational; End Close",""
"ProcIndex",accounting-finance,0%,5,0,"Rational; End Close",""
"Rex",accounting-finance,0%,5,0,"Rational; End Close",""
"TaxGPT",accounting-finance,0%,5,0,"Rational; End Close",""
"Tergle",accounting-finance,0%,5,0,"Rational; End Close",""
"Trope",accounting-finance,0%,5,0,"Rational; End Close",""
"Avent",supply-chain-logistics,0%,5,0,"",""
"Burt",supply-chain-logistics,0%,5,0,"",""
"Comena",supply-chain-logistics,0%,5,0,"",""
"Dayjob",supply-chain-logistics,0%,5,0,"",""
"Khotan",supply-chain-logistics,0%,5,0,"",""
"MarkIt",supply-chain-logistics,0%,5,0,"",""
"Prototyping.io",supply-chain-logistics,0%,5,0,"",""
"qomplement",supply-chain-logistics,0%,5,0,"",""
"Reframe",supply-chain-logistics,0%,5,0,"",""
"Soff",supply-chain-logistics,0%,5,0,"",""
"Trava",supply-chain-logistics,0%,5,0,"",""
"Whitespace",supply-chain-logistics,0%,5,0,"",""
"BeeSafe AI",security-compliance,0%,5,0,"",""
"Cotool",security-compliance,0%,5,0,"",""
"Inth",security-compliance,0%,5,0,"",""
"Nebula Security",security-compliance,0%,5,0,"",""
"Parameter",security-compliance,0%,5,0,"",""
"Tolmo",security-compliance,0%,5,0,"",""
"CellType",pharma-biotech,0%,5,0,"",""
"Enjamb Labs",pharma-biotech,0%,5,0,"",""
"Rhizome AI",pharma-biotech,0%,5,0,"",""
"Ritivel",pharma-biotech,0%,5,0,"",""
"CentralComs",real-estate,0%,5,0,"",""
"Copperlane",real-estate,0%,5,0,"",""
"Kastle",real-estate,0%,5,0,"",""
"RealPact",real-estate,0%,5,0,"",""
"Trellis",real-estate,0%,5,0,"",""
"Cignara",customer-support,0%,5,0,"",""
"Minimal AI",customer-support,0%,5,0,"",""
"Pollen",customer-support,0%,5,0,"",""
"Solidroad",customer-support,0%,5,0,"",""
"Userlens",customer-support,0%,5,0,"",""
"Conduit",hospitality-travel,0%,5,0,"",""
"Elyra",hospitality-travel,0%,5,0,"",""
"Lance",hospitality-travel,0%,5,0,"",""
"Marble",hospitality-travel,0%,5,0,"",""
"Zaplar",hospitality-travel,0%,5,0,"",""
"Fed10",government,0%,5,0,"",""
"GovGuard",government,0%,5,0,"",""
"Stratum Industries",government,0%,5,0,"",""
"InspectMind AI",construction-field-service,0%,5,0,"",""
"Macadamia",construction-field-service,0%,5,0,"",""
"NOSO LABS",construction-field-service,0%,5,0,"",""
"PLAN0 AI",construction-field-service,0%,5,0,"",""
"End Close",accounting-finance,10%,5,1,"Rational",""
"Revi",fintech-finance,20%,5,2,"LATO",""
"Rational",accounting-finance,30%,5,3,"",""
"LATO",fintech-finance,50%,5,5,"",""
