name,description
Rex,AI Operations Partner for Enterprise Order to Cash
Rhizome AI,Agent Platform for Life Sciences
Rindler,The translation layer between AI agents and the web
Risely AI,AI agents that automate administrative work across college campuses.
Ritivel,AI-native platform for Life-Sciences Documentation
Robby,AI agents that grow revenue for home services businesses
Rovi Health,AI healthcare concierge for employees
Rubric AI,Reasoning and verification infra for AI
RunLocal AI,AI agent that optimizes inference for embedded compute like Jetson
Saffron,Helping your company find 10x engineers.
Saga AI,Voice Agents for Healthcare Operations
Salus,Guardrails to validate your agent's actions before they execute
Samora AI,Multilingual voice agents that outperform humans
Scope,We help software companies get discovered and used by AI agents
screenpipe,AI powered by everything you seen said or heard
Seeing Systems,Modular AI-Commanded Drones for Defence
Sentrial,Datadog for Agent Reliability
Shepherd,Give your company the knowledge it deserves
Sherpa,Make websites improve themselves.
Sila,Agent-Native Messaging Platform
Simantic,Firmware simulation for AI agents
Simplex,AI agents to enroll providers with payors
Sitefire,Marketing suite for the agentic web
Soff,AI Agents for Distributors
Solidroad,AI agents for CX teams starting with training and QA.
Soria,AI Financial Research Terminal built for Healthcare and beyond
SpottLeuven,AI-native ATS/CRM for recruiting firms
Squid,AI agents for power grid planning
Stage,Code review platform for humans and agents
Standout,Agentic hiring marketplace
Stilta,Agentic AI for intellectual property
stratify,AI agents that help you understand your customers needs
Stratum Industries,AI agents that clear the U.S. government backlog.
Supafax,AI assistant for your email and calendar
Superset,Building the platform for software factories
Sylvian,Specialized AI Agents.
Syntropy,The agentic coding app for complex tasks.
TakeCareOS,AI-native operating system for long term care providers
Talking Computers,AI for AI Infrastructure
Tasklet,Agents that own the work
TaxGPT,AI tax assistant for professionals and businesses
Tell if AI,AI agents on real phones growing brands across every platform.
Tepali,AI operating system for medspas
Tergle,AI Agents for Audit
Terminal Use,Digital twins for data center construction
TesterArmy,Test your app with AI catch bugs before users do
The Context Company,Monitor AI agents and understand user behavior
Third Chair,AI-Native IP Enforcement Agent
throxy,Vertical AI agents running B2B outbound on autopilot with human SDRs
Tolmo,Tolmo is the AI security platform that secures every layer of cloud
Toothy AI,AI for insurance verification and billing at dental clinics
Topo,All-in-one AI platform for outbound sales
Tracer,Combining open-source AI models for better answers at lower cost
Trapeze,AI-native Zocdoc
Trava,AI agents for global trade compliance
Trellis,Agents that run short-term rental operations end-to-end
Trope,The AI-native ERP system integrator
Truffle AI,AWS for AI Agents
TrustAI,Continuous compliance and governance for agents on sensitive systems
Tusk,AI agent that generates unit and integration tests
Understudy Labs,Effortlessly move to open weight models
Unisson,AI agents that automate B2B software implementation
Unusual,Market to AI agents
Userlens,Agents that renew and expand six and seven-figure enterprise software
Vector Legal,A premier AI-native law firm and legal operating system for Startups.
Veritus,AI agents for the consumer lending industry
Vesence,Cursor for Lawyers. Agentic AI in MS Office.
Voquill,The agentic OS for medical labs
VOYGR,Real-world place intelligence for AI apps and agents
Waddle Labs,Agents for robotics control.
Wato,The control point for AI agents at work.
Whitespace,AI Operating System for Wholesale Distributors
Wideframe,AI coworker for video editors to ship more video faster
WithAI,Agent harnesses for asset managers
Wordware,AI agents you can rely on
YouArt,Patreon for AI Originals
Zaplar,Agentic Hotel Operating System
Zolvo,AI Back-Office Automation for Commercial Lenders
Zuni,AI agents for high-value professional work
